"id","requirement","redundancy","consistency","completion","NOTES"
"G4-R070","When the hit results in sinking a ship, the product shall notify the players that the ship was sunk.","","","","Base requirement"
"G4-R071","All of the users shall be able to use the system after one day of training.'","","","","Base requirement"
"G4-R072","The estimator shall search for available recycled parts using damaged vehicle parts information.","","","","Base requirement"
"G4-R073","The system shall refresh the display every 60 seconds.'","","","","Base requirement"
"G4-R074","The product shall have a customizable Look and Feel.","","","","Base requirement"
"G4-R075","The product shall be able to support multiple remote users'","","","","Base requirement"
"G4-R076","The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99\% of the time during the first six months of operation.'","","","","Base requirement"
"G4-R077","The system shall use symbols and words that are naturally understandable by the user community.'","","","","Base requirement"
"G4-R078","The product shall allow the player to position ships vertically on their grid.","","","","Base requirement"
"G4-R079","The system shall validate user credentials before granting access.","G4-R080","","","DUPLICATE: Both requirements specify user authentication validation - same functional intent with different wording"
"G4-R080","The system shall verify user login information prior to allowing entry.","G4-R079","","","DUPLICATE: Both requirements specify user authentication validation - same functional intent with different wording"
"G4-R081","The application shall log all error messages to the system log file.","G4-R082","","","DUPLICATE: Both require logging errors to file - redundant specification of logging mechanism"
"G4-R082","The application shall record error events in the log file.","G4-R081","","","DUPLICATE: Both require logging errors to file - redundant specification of logging mechanism"
"G4-R083","The system shall display confirmation message after successful save operation.","G4-R084","","","DUPLICATE: Both specify post-save confirmation display - same user feedback requirement"
"G4-R084","Upon successful save, the system shall show a confirmation to the user.","G4-R083","","","DUPLICATE: Both specify post-save confirmation display - same user feedback requirement"
"G4-R085","The system response time shall not exceed 2 seconds.","","G4-R086","","CONFLICT: Incompatible performance requirements - 2 sec vs. 5 sec response time"
"G4-R086","The system shall respond to user requests within 5 seconds maximum.","","G4-R085","","CONFLICT: Incompatible performance requirements - 2 sec vs. 5 sec response time"
"G5-R087","The product shall have the ability to receive automatic software updates as new threats emerge.  100\% of customers will be able to receive automatic software updates transmitted to the installed product.'","","","Missing: error handling, rollback mechanism, and audit logging for complete transaction management","INCOMPLETE: Missing: error handling, rollback mechanism, and audit logging for complete transaction management"
"G5-R088","All credit card information will be secured on the server  and only accessible by authorized Izogn administrators.  Information will be encrypted in the database.'","","","Missing: error handling, rollback mechanism, and audit logging for complete transaction management","INCOMPLETE: Missing: error handling, rollback mechanism, and audit logging for complete transaction management"
"G5-R089","The product shall free of computer viruses.'","","","Missing: error handling, rollback mechanism, and audit logging for complete transaction management","INCOMPLETE: Missing: error handling, rollback mechanism, and audit logging for complete transaction management"
"G5-R090","The product must be developed with the J2SE/J2EE programming language libraries'","","","","Base requirement"
"G5-R091","The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.'","","","","Base requirement"
"G5-R092","The product must be highly configurable for use with various database management systems for the end users.  80\% of end users are able to integrate new database management systems with the product without changing the product's software code.'","","","","Base requirement"
"G5-R093","The product shall allow the user to select a chosen language from one of the target market countries.'","","","","Base requirement"
"G5-R094","Izogn Administrator must be able to add new products to the website within 2 minutes.'","","","","Base requirement"
"G5-R095","Only authorized users shall have access to clinical site information.'","","","","Base requirement"
"G5-R096","The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.'","","","","Base requirement"
"G5-R097","The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.'","","","","Base requirement"
"G5-R098","The product shall retain the customer's buying preferences and information.'","","","","Base requirement"
"G5-R099","The system shall automatically log out users after 15 minutes of inactivity.","","G5-R100","","CONFLICT: Contradictory timeout policies - 15-min auto-logout vs. indefinite session"
"G5-R100","The system shall maintain user sessions indefinitely until manual logout.","","G5-R099","","CONFLICT: Contradictory timeout policies - 15-min auto-logout vs. indefinite session"
"G5-R101","All passwords must be exactly 8 characters in length.","","G5-R102","","CONFLICT: Incompatible password length constraints - fixed 8 chars vs. 12-20 range"
"G5-R102","The system shall accept passwords between 12 and 20 characters.","","G5-R101","","CONFLICT: Incompatible password length constraints - fixed 8 chars vs. 12-20 range"
"G5-R103","The system shall encrypt all data at rest using AES-256 encryption.","","G5-R104","","CONFLICT: Contradictory encryption policies - mandatory AES-256 vs. no encryption"
"G5-R104","The system shall not apply encryption to stored data to optimize performance.","","G5-R103","","CONFLICT: Contradictory encryption policies - mandatory AES-256 vs. no encryption"
"G6-R105","The website will allow customers to search for movies by title, actor, or director.","","","Missing: error handling, rollback mechanism, and audit logging for complete transaction management","INCOMPLETE: Missing: error handling, rollback mechanism, and audit logging for complete transaction management"
"G6-R106","PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.","","","Missing: error handling, rollback mechanism, and audit logging for complete transaction management","INCOMPLETE: Missing: error handling, rollback mechanism, and audit logging for complete transaction management"
"G6-R107","Daily usage statistics should be logged, and accessible by the administrator.","","","Missing: error handling, rollback mechanism, and audit logging for complete transaction management","INCOMPLETE: Missing: error handling, rollback mechanism, and audit logging for complete transaction management"
"G6-R108","The system shall search for available recycled parts for the supplied vehicle parts and suppliers.","","","","Base requirement"
"G6-R109","The Disputes System must allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.","","","","Base requirement"
"G6-R110","The system shall be able to display a printable summary for individual nursing students, which will include (but not be limited to) student name, student ID, admission date, classes, credits, GPA, and the cohort that the student is enrolled in.","","","","Base requirement"
"G6-R111","The product shall allow a player to initiate a game by selecting another available player from the list of players.","","","","Base requirement"
"G6-R112","The system will display a blank set of ratings if there are not ratings yet defined.","","","","Base requirement"
"G6-R113","The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.","","","","Base requirement"
"G6-R114","The system shall be able to display a printable summary for individual clinical labs, which will include (but not be limited to) class name, class number, lab section, listing of students enrolled, instructor, day(s), time, and location.","","","","Base requirement"
"G6-R115","When the hit results in sinking a ship, the product shall mark the ship as sunk on the defensive grid of the defensive player.","","","","Base requirement"
"G6-R116","The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.","","","","Base requirement"
"G6-R117","The product shall allow the player to position ships diagonally on their grid","","","","Base requirement"
"G6-R118","The product shall allow a player to position ships horizontally on their grid.","","","","Base requirement"
"G6-R119","The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.","","","","Base requirement"
"G6-R120","The system shall validate user credentials before granting access.","G6-R121","","","DUPLICATE: Both requirements specify user authentication validation - same functional intent with different wording"
"G6-R121","The system shall verify user login information prior to allowing entry.","G6-R120","","","DUPLICATE: Both requirements specify user authentication validation - same functional intent with different wording"
"G6-R122","The application shall log all error messages to the system log file.","G6-R123","","","DUPLICATE: Both require logging errors to file - redundant specification of logging mechanism"
"G6-R123","The application shall record error events in the log file.","G6-R122","","","DUPLICATE: Both require logging errors to file - redundant specification of logging mechanism"
"G6-R124","The system shall display confirmation message after successful save operation.","G6-R125","","","DUPLICATE: Both specify post-save confirmation display - same user feedback requirement"
"G6-R125","Upon successful save, the system shall show a confirmation to the user.","G6-R124","","","DUPLICATE: Both specify post-save confirmation display - same user feedback requirement"
"G7-R126","The product shall be able support 1000 simultaneous users.'","","","Missing: error handling, rollback mechanism, and audit logging for complete transaction management","INCOMPLETE: Missing: error handling, rollback mechanism, and audit logging for complete transaction management"
"G7-R127","The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.'","","","Missing: error handling, rollback mechanism, and audit logging for complete transaction management","INCOMPLETE: Missing: error handling, rollback mechanism, and audit logging for complete transaction management"
"G7-R128","The leads washing functionality will insert all leads captured by the web service.","","","Missing: error handling, rollback mechanism, and audit logging for complete transaction management","INCOMPLETE: Missing: error handling, rollback mechanism, and audit logging for complete transaction management"
"G7-R129","Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.'","","","","Base requirement"
"G7-R130","The Disputes application shall ensure that only authorized users are allowed to logon to the application.'","","","","Base requirement"
"G7-R131","The Disputes applications shall interface with the Merchant Information Database.  The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.'","","","","Base requirement"
"G7-R132","The number of mistakes noted by the students shall be decreased by 50\% in the first year.'","","","","Base requirement"
"G7-R133","When the hit results in sinking a ship, the product shall notify the players that the ship was sunk.","","","","Base requirement"
"G7-R134","At the start of each turn, the product shall notify each player of his or her status.","","","","Base requirement"
"G7-R135","The product shall have a consistent color scheme and fonts.'","","","","Base requirement"
"G7-R136","The product shall display a map of the company building showing conference room locations.","","","","Base requirement"
"G7-R137","All screens created as part of the Disputes application must comply with corporate standards for interface creation.'","","","","Base requirement"
"G7-R138","The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.","","","","Base requirement"
"G7-R139","The product shall produce search results in an acceptable time'","","","","Base requirement"
"G7-R140","Daily usage statistics should be logged, and accessible by the administrator.","","","","Base requirement"
"G7-R141","The system shall validate user credentials before granting access.","G7-R142","","","DUPLICATE: Both requirements specify user authentication validation - same functional intent with different wording"
"G7-R142","The system shall verify user login information prior to allowing entry.","G7-R141","","","DUPLICATE: Both requirements specify user authentication validation - same functional intent with different wording"
"G7-R143","The application shall log all error messages to the system log file.","G7-R144","","","DUPLICATE: Both require logging errors to file - redundant specification of logging mechanism"
"G7-R144","The application shall record error events in the log file.","G7-R143","","","DUPLICATE: Both require logging errors to file - redundant specification of logging mechanism"
"G7-R145","The system shall display confirmation message after successful save operation.","G7-R146","","","DUPLICATE: Both specify post-save confirmation display - same user feedback requirement"
"G7-R146","Upon successful save, the system shall show a confirmation to the user.","G7-R145","","","DUPLICATE: Both specify post-save confirmation display - same user feedback requirement"
"G7-R147","The system response time shall not exceed 2 seconds.","","G7-R148","","CONFLICT: Incompatible performance requirements - 2 sec vs. 5 sec response time"
"G7-R148","The system shall respond to user requests within 5 seconds maximum.","","G7-R147","","CONFLICT: Incompatible performance requirements - 2 sec vs. 5 sec response time"
