id,requirement
reqView-48,"User shall be able to edit requirement text description using following rich text formatting: bold, italic, underline or strikethrough text; numbered list; bullet list; increase or decrease list indent; URL link"
reqView-49,User shall be able to define custom object attributes presented as extra columns in the Requirements Table
reqView-50,"Each custom object attribute shall have one of following types: bool, int, real, string, date, enum, xhtml"
reqView-51,Each custom object attribute can have a text field presented to the user as column heading
reqView-52,Each custom object attribute can be set as read only in which case user shall be prevented of changing its value for any requirement
reqView-53,User shall be able to add a new comment for the selected object in Requirements Table.
reqView-54,"New comments shall be stored with the current date and time, and author contact details name, email and company (see User Settings)."
reqView-55,"User shall be able to attach to a selected requirement one or more images or documents (PDF, Word, Excel, Powerpoint, Visio, ...)."
reqView-56,"If a requirement has an attachment it shall be shown in the Requirements Table under requirement's text. Image attachments shall be displayed as embedded pictures, for other type of attachments at least file name shall be displayed."
reqView-57,User shall be able to open chosen attached PDF document in the browser
reqView-58,User shall be able to download chosen attached document to the local file system
reqView-59,User shall be able to update the attachment
reqView-60,User shall be able to delete any chosen attachment
reqView-61,User shall be able to create a directed link between requirements in the same document
reqView-62,User shall be able to create a directed link between objects in two different documents
reqView-63,User shall be able to display column summarizing all incoming and outgoing links. Each link shall be presented by ID of the linked object and short summary of its description
reqView-64,User shall be able to delete a selected link.
reqView-65,User shall be able to follow link in order to navigate to the linked object
reqView-66,User shall be able to filter all requirements by the given value of any attribute
reqView-67,User shall be able to input up to 10 filtering criterions. Each criterion can be a text keyword or name of attribute with the matched value
reqView-68,"Criterions can be connected into logical clauses using AND, OR and NOT operators"
reqView-69,User shall be able to filter only changed requirements from the version stored in the last opened ReqView document
reqView-70,User shall be able to choose if he wants to present the found requirements with or without their structure (all parent section headings on all levels)
reqView-71,User shall be able to search requirements with an attribute matching a string keyword by means of the Full Text Search (FTS).
reqView-72,The document words shall be matched if they have the same prefix as an input keyword without respecting the case
reqView-73,User shall get visual information if requirements changed from the original version
reqView-74,The application shall show change indicator for requirements changed from the version stored in the opened ReqView document
reqView-75,Each change to any of requirement attributes shall be saved into History of Changes
reqView-76,"ReqView shall track for each change information about change date, reviewer, changed attribute name and changed attribute original value and value after the modification"
reqView-77,User shall be able to clear the history of all requirements in the document
reqView-78,User shall be able to print the current document
reqView-79,User shall be able to export the printout to PDF
reqView-80,The print layout shall have the same layout as the displayed Requirements Table including displayed columns and filtered rows
reqView-81,ReqView Desktop shall start in less than 10s. The very first time it shall start in less than 30s.
reqView-82,"User shall be able to work with documents up to 1000 objects, 100 file attachments and 100MB in size"
reqView-83,Response time for common edit operations (change attributes and structure) shall be less than 1s.
reqView-84,Opening or saving a local file shall took less than 10s.
reqView-85,Scrolling requirements table shall be smooth with jerks shorter than 200ms
reqView-86,The application data shall be stored in a secure storage which is not accessible by other system or web applications
reqView-87,The application shall not send any project data to the internet (except upload of document to Google Drive by the user).
