id,requirement
QuRE-023,The requirements concerning failure detection philosophy which are described in the E-Gas work group specification (see chapter `` definitions of terms '') have to be taken into account for supposed malfunctions and for the definition of adequate measures.
QuRE-024,"In case the OBC is limited on the frequency of the HVAC input Voltage, the OBC shall react in response to the detected fault by entering the HV Shutdown sequence or if possible reduce its input power to an adequate level."
QuRE-025,The filtering shall be adequate to the update rate.
QuRE-026,All interfaces have to be protected against contamination with adequate parts.
QuRE-027,The pull-off force has to be measured with adequate tooling.
QuRE-028,"The sensors integrated in the central unit (via electronic technology, e.g. via piezo-electronics, piezo-resistance, micromechanics etc.) for crash detection must be sensitive enough to detect collisions of the vehicle with adequate promptness."
QuRE-029,"If the EMM can not recognize the vehicle velocity, adequate substitute values must be used."
QuRE-030,"If the EMM receives no information about the state of the vehicle via CAN, the EMM shall use adequate substitute values."
QuRE-031,"If the EMM receives the information about an invalid Control Pilot (via the corresponding coupler states) while transferring energy, the EMM shall use adequate substitute values."
QuRE-032,If TBCC_Reg_Actv is 2 then the acceleration requests must be implemented by an adequate control algorithm.
QuRE-033,For the same video file depending on selected Language / Country the adequate audio file should be played synchronously.
QuRE-034,Camera hardware and image quality shall be chosen appropriately in order to be able to display objects at maximum range of the specified ODAs.
QuRE-035,"If the control logic is designed appropriately, a short circuit can also be detected by the signal driver circuit."
QuRE-036,"The dwell times of the measurements have to be chosen appropriately to the time constant of the tuners, amplifiers and the measurement equipment."
QuRE-037,The #Elements information in ParseCtrl shall be adapted appropriately.
QuRE-038,The # entries element information in ParseCtrl shall be adapted appropriately.
QuRE-039,The diameters must be appropriately chosen for the currents.
QuRE-040,This has to be done appropriate to the ambient light situation.
QuRE-041,"If manual handling can not be eliminated in production, the supplier shall take measures appropriate to reduce the risk of damage (e.g. protected transportation trays)."
QuRE-042,The supplier shall take appropriate measures to reduce the risk of contamination (e.g. dust protection covers).
QuRE-043,All timing aspects have to be handled appropriate to Autosar 4.2.
QuRE-044,The repeated transmission of identical Object Lists shall be signalized by an identical timestamp and counted in the signal state of the appropriate signal counter (SW_CYCL).
QuRE-045,This has to be done independently whether the appropriate longitudinally nearest object is located within or outside of the detection field.
QuRE-046,The model shall be appropriate for packaging analysis at OEM (including use as part in the OEM Engineering Client).
QuRE-047,"The component must comply with the standards appropriate to [DIN 70000]: '' Fahrzeugdynamik und Fahrverhalten, 1994 ``"
QuRE-048,The supplier is expected to use appropriate tools to read interface definition specifications (e.g. Enterprise Architect for UML interface definitions).
QuRE-049,"The Contractor has to verify the implementation of these guidelines with appropriate methods or tools (e.g., internal code reviews)."
QuRE-050,The contractor shall deliver all required logical blocks and the appropriate ODX-F files according to the client 's guidelines for each sample version.
QuRE-051,"Appropriate measures (return spring) must be taken to ensure that the actuator opens under the most unfavorable conditions within the defined operating range (ambient temperature, power supply voltage, dirt, intake manifold absolute pressure, backpressure)."
QuRE-052,The PCV actuating range may be limited to an appropriate range including `` totally open '' in order to secure save operation during actuation.
QuRE-053,"Whenever an SCC internal error occured, e.g. reading NvM failed, copy of data failed or compare operation failed the SCC shall set Scc_15118SequenceOptionAttemptCtr equal 0, set the appropriate error bits as described in SCC-DIS-2438 and stop the V2G Communication Session."
QuRE-054,"If required, the supplier shall be able to proof the validity of the model by appropriate measurements (impedance, S-parameters)."
QuRE-055,"To influence the LV output voltage depending on LV output current, an appropriate calibration parameter (`` Factor '') has to be provided."
QuRE-056,The SDC shall be cooled by means of a fan and appropriate cooling fins (active air cooling).
QuRE-057,"Details on replicating the installation situation (installation position, covers, trim, operating situations and in repair / maintenance) are to be proposed by the supplier and agreed on with OEM and documented in an appropriate manner (through design drawings and / or photos, for example) in the technical specification (supplier) or in the component test specification."
QuRE-058,"6. For reasons of protection against physical contact and protection of the electrical terminal, an appropriate cover (e.g. in the form of a cap) must be provided over the alternating current connections."
QuRE-059,"If defects in the product arise during the tests and test phases, the contractor shall coordinate appropriate actions with the client."
QuRE-060,The safety requirements are described in the chapter `` Function description '' and are linked with the appropriate safety goals in the chapter `` Safety Goals from the Hazard and Risk Analysis ''.
QuRE-061,"The system shall set the value of the `` HU_Start '' signal to the appropriate value (see [KMATRIX_HU]), when the user starts the selected Active Comfort program."
QuRE-062,The ACCSW shall set the appropriate values of the `` AK_Sel... '' signals according to the `` Program Configuration ''.
QuRE-063,"If a precondition check is negative, the ACCSW shall set the appropriate value in the AK_Hinweis signal (see IF1 specification `` getUnfulfilledRequirements '')."
QuRE-064,When accepted COMAND display must trigger an appropriate action which is defined outside of the VC.
QuRE-065,"Real collision objects have to be selected and labeled, depending on the object position, with the appropriate DTR_Obj_x_PreSelect."
QuRE-066,The sensor shall label the detected objects which fulfill the qualification criteria (valid status DTR_Obj_x_PreSelect possible) for oncoming traffic out of the object list with the appropriate status of DTR_Obj_x_xxxQual.
QuRE-067,The contractor shall supply OEM with the appropriate documentation for the low level debug interface.
QuRE-068,"Therefore, each application that uses LVDS should also refer to the appropriate protocol and interconnect standard."
QuRE-069,Remark: The appropriate MOST message will be defined later.
QuRE-070,The gear recognition is made possible by the determination of the control shaft angle plus the appropriate 2D sensing of the control shaft.
QuRE-071,On demand the client shall be provided with the appropriate documentation.
QuRE-072,In case of an actuator the functions contain also the closed-loop position control and the appropriate diagnostics.
QuRE-073,The scripts use this information in order to execute the appropriate `` Erase '' and `` Program '' algorithms.
QuRE-074,"The value shall change from the response message to the request message after the response message is received and all contained data is processed, e.g. interpreted and forwarded to the appropriate interface."
QuRE-075,A detailed description of the different `` vehicle modes '' and the appropriate operating conditions for the dc / dc converter are to be found in chapter `` Systems Requirements ''.
QuRE-076,See the appropriate AUTOSAR specification for details.
QuRE-077,The rotary slide valve (RSV) shall be controlled by another controller (CPC) according to the appropriate VMM.
QuRE-078,For further details refer to the appropriate network VMM.
QuRE-079,For details refer to the appropriate VMM.
QuRE-080,The gateway communication interface (ECU extract) shall be configured according to the appropriate architecture.
QuRE-081,The specified discharge current is to be obtained by connecting a resistive load of the appropriate size and rating in series with the test cell.
QuRE-082,The diagnostic trace memory is used by the service diagnostic tool to trace test sequence steps performed by the service technician to allow the diagnostic tool to continue the repair procedure where it was interrupted and to allow engineering to determine whether the appropriate repair procedure has been performed at all.
QuRE-083,"The supplier / `` contractor '' is responsible to design, develop, test and certify the CCPL to meet VDE, ECE and CCA approval, confirmation, listing and certification and display the appropriate certification labels."
QuRE-084,"Parts, components and sub-assemblies shall be identified with the appropriate material recyclability identification."
QuRE-085,The complete system diagnostics strategy shall be reviewed and approved by the appropriate OEM platform engineer and documented in the appropriate diagnostic protocol.
QuRE-086,"Based on the transferred configuration, the appropriate coding is selected."
QuRE-087,The contractor shall supply the client with the appropriate HW tools for the low level debug interface.
QuRE-088,"The system shall display the Active Comfort programs `` Refreshment '', `` Activation '' and `` Active Relaxation '' if the vehicle is equipped with the Active Comfort System (VCD_Active_Comfort-Feature Active Comfort equal installed) AND the appropriate variant coding (VCD_Active_Comfort-Program Refreshment, VCD_Active_Comfort-Program Activation, VCD_Active_Comfort-Program Active Relaxation) is set ON (chapter Diagnostic Services)."
QuRE-089,"The system shall set the appropriate value of the `` HU_Start '' signal, if the user selects `` Abort running program ''."
QuRE-090,"If the video player participates in the program `` Activation '', the system shall communicate to ACCSW that the requested activating playlist is still about to be played afterwards by sending the appropriate value of signal `` Play_MusicProgr ''."
QuRE-091,The system shall play the appropriate audio file in dependence of the selected video file AND the selected system language (see HMI specification).
QuRE-092,The system shall use the appropriate signals `` HU_SelDuration '' to communicate the duration setting with the ACCSW.
QuRE-093,"In case of a Rear Seat Entertainment System (RSU or Tablet PC), the system shall play the alarm and send it to the appropriate audio output of the selected occupants."
QuRE-094,The system shall play the music with the appropriate volume level in each phase of the PowerNap program (see SYS_AudioH equal Audio Handling).
QuRE-095,"The ACCSW shall stop the execution of an Active Comfort program if the user has terminated the lead function, reading the appropriate signals."
QuRE-096,The ACCSW shall send the signal with the appropriate values.
QuRE-097,"If fine-pitch components are used, the supplier shall take appropriate measures to ensure the quality of the component (e.g. proof of roubustness to particles, lacquering of pins)."
QuRE-098,For each single component of the brake system the component supplier shall derive appropriate operation conditions for the EMC component test.
QuRE-099,"The supplier shall take appropriate measures to fulfill the safety requirements, that are relevant for the radar according to the systems functional safety concept (designed according to [ISO 26262]), see chapter Integrity requirements)."
QuRE-100,An appropriate algorithm has to be chosen to compensate for small offset drifts of VehYaw Rate in a way that does not compromise LaneRadius dynamic performance.
QuRE-101,The size of the measurement catalogue shall be appropriate to the intended use for regression tests of sw-releases by resimulation.
QuRE-102,"If object-oriented programming is applied, appropriate coding guidelines for object-oriented programming shall be available and discussed with the Client."
QuRE-103,"The supplier shall put appropriate measures in place in its production to ensure that, for example, early failures typically occurring in semiconductors are detected and do not occur after handover to the customer."
QuRE-104,An appropriate application method shall be selected for each chemical as per Table 81 of Appendix A of SPEC LV 124-2 [LH-5383].
QuRE-105,An unique appropriate diagnostic operating instruction shall be provided for each DTC.
QuRE-106,"In order to be able to rapidly assign the impaired components to a fault image, appropriate routines shall be implemented in the ECU."
QuRE-107,"The part number, the software version and where appropriate the diagnostic information of a flashware are allocated in the first 128 byte of the first segment."
QuRE-108,The receiving component has to implement an appropriate parser to map the CANTP structure to internal variables.
QuRE-109,An appropriate debouncing shall be implemented for the detection of every error.
QuRE-110,The absence / evidence of leakage shall be provided by means of appropriate tests by taking into account the specific construction of the component and the specification of the coolant circuit.
QuRE-111,An appropriate opening for routing of the cable must still be defined.
QuRE-112,Secondary functions include providing secure mechanical interfaces from 3-phase voltage supply and attachment to Stator while guaranteeing appropriate standard compliant clearances between phases to elude grounding.
QuRE-113,The contractor may select appropriate tests to measure and prove the characteristical breaking capacity.
QuRE-114,"If the failure is recoverable and an appropriate condition is met, the LBC must continue to operate in the mode commanded via CAN."
QuRE-115,The central activation device uses the crash acceleration and pressure forces measured by appropriate sensors and the resulting values to determine whether the threshold value for firing the seat belt tightener and / or the airbag firing squibs or for activation of the crash switches has been reached (see the `` Technical Specifications for Algorithms '').
QuRE-116,Actions which are appropriate for this are to be planned and coordinated with OEM.
QuRE-117,- Work with CPG and Bumper Lab and seat structure / complete supplier or their appropriate testing facilities to ensure that data collection method is compatible with existing equipment for ease of downloading and processing.
QuRE-118,As this requirement is very important an appropriate draft for solving the problem has to be handed out together with the quote.
QuRE-119,For each frequency range an appropriate reference antenna centred to the corresponding frequency band is used.
QuRE-120,"In order to manage the overall ISM band allocation, an appropriate software application shall be implemented to allow configuration, priorization and management of ISM band allocation by the several components wireless interfaces."
QuRE-121,An appropriate method to evaluate process distributions is a corner-lot characterization and qualification according to AEC-Q100.
QuRE-122,Charging is performed within an appropriate duration in all climatic zones of the target markets.
QuRE-123,The system shall guarantee appropriate speech intelligibility of speech transmitted from the front seat row to the rear seat row.
QuRE-124,The system shall guarantee appropriate speech intelligibility of speech transmitted by the InCarCom system.
QuRE-125,"Then, the allocation to appropriate objects has to be carried out directly in the current system cycle as long as no other detections can be allocated to this object."
QuRE-126,Necessary offset compensation shall only base on comparison of the signals among each other and an appropriate averaging over time and driven distance.
QuRE-127,The proof of competence shall be attested by submission of certificates of attendance of appropriate training events.
QuRE-128,"In case of active ventilation, the component must provide appropriate functions to ensure effective ventilation."
QuRE-129,The misuse analysis results shall be taken into account in the test concept in order to cover the identified risks by appropriate quality assurance measures.
QuRE-130,The adherence of the code to the planned architecture has to be verified by the Contractor with appropriate methods.
QuRE-131,An appropriate transformer shall be used for the connection between PHY and Ethernet connector.
QuRE-132,Remark: The HU shall provide the ability to change this frame rate by an appropriate diagnosis service.
QuRE-133,The materials getting in contact with the air / hydrogen mixture have to be appropriate in terms of degradation and wear.
QuRE-134,ATCU functions that shall not be accessible to unauthorized persons shall have appropriate security mechanisms in place.
QuRE-135,SCC shall ignore any SDP response message that was sent from an IP Adress which is not valid or regarded as not appropriate.
QuRE-136,SCC shall ignore any SDP response message that provides an SECC server IP address which is not valid or regarded as not appropriate.
QuRE-137,"This could be realised, by physically erasing the certificate or by changing the content of the certificate, e.g. length information of the certificate or appropriate control information of the NvM."
QuRE-138,Make sure to use coupling capacities with appropriate electric strength.
QuRE-139,This component shall have a control logic for the interlock signal and appropriate control measures shall be provided.
QuRE-140,The contractor has to deliver an appropriate derating diagram.
QuRE-141,"The base plate of the SDC has to be designed with four sockets of 1cm^2 mounting area each, to ensure both, appropriate fixation and thermal conduction."
QuRE-142,"Additionally, all signals require proper conversion and level shifting when appropriate."
QuRE-143,"- At functional points positioned on different components, direct tolerance dependencies must be taken into consideration and verified in production by appropriate measures."
QuRE-144,Cooling plate must connect to the cooling valve in an appropriate way.
QuRE-145,The internal cooling circuit must be connected to the standardized cooling interface in an appropriate way.
QuRE-146,This information has to be transported to the BMC electronics via an appropriate bus system.
QuRE-147,The effectiveness of the line protection shall be verified by the system supplier by carrying out appropriate tests.
QuRE-148,"The ORC uses acceleration and air pressure signals, measured by appropriate sensors to determine a crash event."
QuRE-149,The function of the ORC must be protected against unauthorized influences - even from appropriate diagnostic resources.
QuRE-150,The supplier is able to reduce the element number to a number that is appropriate for numerical simulations.
QuRE-151,The antenna system supplier delivers a numerical model appropriate for simulations.
QuRE-152,The geometrical information is exchanged in a way that is appropriate for surface current formulations.
QuRE-153,All frequency dependent properties must be appropriate for the incident frequency.
QuRE-154,The antenna supplier has to ensure that the positions defined together with the mirror supplier are appropriate to meet the required performance.
QuRE-155,"For each frequency band, an appropriate reference antenna is used."
QuRE-156,The supplier has to use appropriate band pass filters for each measurement.
QuRE-157,Charging shall be accomplished within an appropriate time in all market relevant zones.
QuRE-158,"These parameters can be calculated afterwards [ADS, Matlab] or during the measurement using a virtual antenna embedded in the VNA by appropriate modification of calibration error terms."
QuRE-159,The Transmitter shall transform the stored data in appropriate exchange format.
QuRE-160,"Appropriate firing thresholds are calculated on the basis of the crash measurement signals under consideration of all parameters (belt buckle status, equipment programming, etc.)."
QuRE-161,Appropriate place / room for EMC improvements has to be considered at the begin of component development.
QuRE-162,The contractor shall ensure that all fault paths are checked automatically (self-diagnosis using appropriate routines or I / O controls).
QuRE-163,The contractor shall target an architecture that allows an exchange of radio technologies without requiring PCB modification (for example by selecting an appropriate chipset).
QuRE-164,"In case the ECU is running in the Extended Diagnostic Session and receives the UDS Diagnostic Service `` Communication Control - Service Identifier [28 hex] '' with the control type 0x00 or 0x80 (Enable Rx And Tx) or the ECU switches into the Default Session, the converter has to switch into the requested mode (or LHOM in case of appropriate conditions), immediately."
QuRE-165,"(To avoid significant overshoot and oscillation of ouput voltage, and to fulfill the dynamic behaviour requirements, it is allowed to reduce output power, as appropriate, in case the actual LV voltage is close to the SDC 's LV voltage set point.)"
QuRE-166,It has to be assured that it is not possible to get a badly calculated engine position (and as a result injections at incorrect angular positions) even if the crank signal is disrupted intermittently.
QuRE-167,"The fault will be set if the temperature of the Charge Coupler does rise too fast, indicating e.g. a badly conditioned contact on vehicle or cordset side."
QuRE-168,Scope: HIL testing of CAN object interface with good and worst case conditions
QuRE-169,Scope: HIL testing of FR object interface with good and worst case conditions
QuRE-170,It shall be possible to change the sensor to compare a bad sensor to a good sensor under equal condition on raw data level within a FAP5-system vehicle.
QuRE-171,Since the mounting characteristics can be worse during oblique insertion it must be guaranteed that mounting with a maximal oblique direction of insertion movement is possible without any restrictions (see also the following article).
QuRE-172,An engine stalling due to synchronisation problems and without bad driver behaviour must not occur without a fault.
QuRE-173,"To distinguish between normal engine running and bad driver actions, the software has to use the current gear and clutch information on manual transmission cars to detect if the driver has occured an engine stalling."
QuRE-174,"If bad wheather conditions or a visual range shorter than 20 meters do not allow a valid measurement for all sample points, the SMPC shall deliver only valid measurements."
QuRE-175,The predicted power shall be based on the worst cell with the lowest voltage.
QuRE-176,"Operating time, total clearing time (441-18-22) and prearcing time (441-18-21), for the worst case including temperature influences and production tolerances in the temperature range between - 40°C and + 85°C shall be specified."
QuRE-177,"For the auxiliaries such as EKMV and PTC, Operating time, total clearing time (441-18-22) and prearcing time (441-18-21), for the worst case including temperature influences and production tolerances in the temperature range between - 40°C and + 125°C shall be specified."
QuRE-178,Reference value: An EEPROM write cycle should typically be 2-5 milliseconds long and shall not exceed 20 milliseconds in the worst case scenario.
QuRE-179,All tests shall be performed and passed at the worst case automotive boundary conditions.
QuRE-180,"Bad weather conditions (heavy rain, snow) that have a negative influence on system performance have to be detected."
QuRE-181,"The accuracy of the system shall be at least two times better than all required position accuracies and not worse than a factor of 5 in all other values (velocity, acceleration, latency etc)."
QuRE-182,The software Code resources analysis shall give a Verification of worst case execution time (WCET).
QuRE-183,Worst case scenario must be established by the contractor and approved by the client.
QuRE-184,"In case that the electronics for isolation measurement failed, a worst case value less than 100 Ohm / Volt is assumed (internal and external)."
QuRE-185,In case of no or bad access (see general assembly requirements) in production these parts shall be content of battery delivery.
QuRE-186,"Here, the worst parameter is decisive for the category (see chart)."
QuRE-187,It must be guaranteed that the CPU peak load during crash algorithm in worst case is max. 90%.
QuRE-188,BSBRange2 indicates a worse state than BSBRange1.
QuRE-189,All 3 modes of the browser shall run seperately which leads in a worst case scenario to more than 512 MB of RAM.
QuRE-190,All environmental requirements which are specific for Chinese market and worse than the clients own requirements shall also be fulfilled.
QuRE-191,Finally the operation / buildability of the whole component (worst case boundary sample) has to be verified.
QuRE-192,The OBC shall be operated at different load conditions (worst case derived by the supplier upon agreement with the customer).
QuRE-193,"Number of firing loops that have to be fired at `` worst case '' conditions (temperature, firing duration, firing current etc.) is defined in algorithm specification.."
QuRE-194,For verification of the RF reception performance calibrated wheel sensors with minimal RF power (worst case power) shall be used.
QuRE-195,"The SIM OS shall implement intelligent mechanisms to reduce memory stress such as over-provisioning, trim, wear-leveling and bad block mapping."
QuRE-196,BSBRange1 equal 1 is set when the power network state is bad.
QuRE-197,The value BSBRange1 indicates a bad power network state.
QuRE-198,PN14_AS_Off_Rq equal 1 indicates that the powernet state is bad.
QuRE-199,"Only if a bad powernet condition is detected by the IODC, the bus is woken up to switch off the telematics."
QuRE-200,It is diconnected if the generator management ist switched on or the powernet state is too bad.
QuRE-201,After setting the wire to low the engine controller has to wait for a certain amount of time before the starter is started
QuRE-202,"-IBS sleep mode, where communication is needed only in certain situations."
QuRE-203,"The following functions for the car-to-infrastructure application have to be performed by the head unit: vehicle position updates have to be sent to the OEMVB (every x minutes / meters, to allow addressing of relevant vehicles) certain data from the vehicle network has to be collected by the HUH and has to be pre-processed according to algorithms provided by OEM the pre- processed data has to be sent regularly to OEMVB and notifications of dangerous spots have to be received received notifications have to be checked by the head unit for relevance for the driver (spots shall be map-matched) presentation of relevant notifications to the driver on the head unit HMI and the instrument cluster"
QuRE-204,The contractor shall ensure that all decided actions (agreed by the contractor) are realized until next software release or realized until a certain date (confirmed by the client) and controlled by the contractor.
QuRE-205,To use additional Navigation data from external user memory devices offers the possibility to enhance the navigation functionality with certain additional features (e.g. very rich 3D-content).
QuRE-206,Possibility to change certain behavior like message / frame cycle time of active setting at initialization.
QuRE-207,Within buck mode the dc / dc converter should be able to deliver a peak output current (I_peak) for a certain time (maximum T_peak_max).
QuRE-208,"After an I_peak event, the dc / dc converter is allowed to deliver a reduced output current (I_recover) for a certain time (T_recover)."
QuRE-209,Certain general test parameters are defined in the following list (also see SPEC 10305-1 Draft 1: E / E Environmental Testing; Part 1: Test Specifications>):
QuRE-210,"The contractor has to proof during development period, that there is no gap at a certain current level between the two reaction methods."
QuRE-211,"The end of charge signal is reset after the SOC has dropped by a certain delta, for example 5 %."
QuRE-212,"In the case of certain components (see Table 1.6-2), the contents of the barcode are to be shown alphanumerically below the barcode itself."
QuRE-213,In certain critical states of the car (e.g. emergency braking or an accident) some convenience consumers can be switched off very fast to guarantee the safety functions.
QuRE-214,"For realization that preconditions are achieved, ACCSW sends out certain requests (e.g. to close windows, lock doors or engage parking brake)."
QuRE-215,The DRCAM shall provide valid measurements if PN is within a certain border area outside the real eye ellipse according to AGMR-631.
QuRE-216,When received the response UDE shall save the file with a certain name (tbd) in a certain directory (tbd) on the USB stick.
QuRE-217,"certain information or documents, such as license text, must be included in the product documentation and / or other materials provided along with the software."
QuRE-218,"The TCU communicates with OBC in order to activate or deactivate certain functions, such as smart charging."
QuRE-219,"The TCU communicates with CPC in order to activate and deactivate certain functions, such as preconditioning."
QuRE-220,"The contractor shall prepare the architecture to be able to introduce additional variants for certain countries, such as China."
QuRE-221,In general it is to be made certain that the throttle is easily mountable and dismountable in combination with the intake manifold and other involved components.
QuRE-222,"If the component possesses an internal discrete or integrated voltage regulator, it must be certain that safety is maintained in the event of loss of function of the voltage regulator and no damage or errors in control unit function result."
QuRE-223,The supplier shall store 15 to 60 music files provided by OEM on the durable storage (the music files may vary depending on a certain headunit hardware version for a specific region).
QuRE-224,The supplier shall store training video files and several audiofiles in different languages provided by OEM in the persistent memory (the training video files may vary depending on a certain headunit hardware version for a specific region).
QuRE-225,A basic set of up to 3 alarm files will be stored on the HU durable storage (the alarm files may vary depending on a certain headunit hardware version for a specific region).
QuRE-226,In the design stage evaluation certain indicators of the components are evaluated; these indicators shall be agreed upon separately.
QuRE-227,"For validation of certain component functions a function specific data base may be necessary, e.g. tunnels and bridges, pedestrians, oncoming or crossing objects, situations with high yaw dynamic, lane radius verification, etc."
QuRE-228,The detection shall be done in a certain way and filter for error detection shall be used.
QuRE-229,This component is essentially relevant to keep the environment temperature of certain telematic components in a safe temperature range.
QuRE-230,The OEM may define certain requirements for a component that may influence the (switch) module specification.
QuRE-231,Certain vehicle lines will have the Button interface status sent over the CAN bus to the TCU.
QuRE-232,For a more comprehensive introduction to certain topics further AUTOSAR specifications have to be considered (see www.autosar.org).
QuRE-233,In certain cases it may be necessary to limit engine speed as a long term adjustment.
QuRE-234,By using the Predefined Routine Identifier `` Control Fail Save Reactions '' certain ECU internal DTC reactions shall be disabled.
QuRE-235,"During the development phase, certain applicable parameters can be stored in the EEPROM and copied to RAM when the system is started up."
QuRE-236,"If the cell voltages of the Li-Ion battery differ more than a certain value, the battery has to be kept in full charge to enable an internal balancing of the cells."
QuRE-237,Certain states of the car and currently running functions or events require the DDP not to open the DDP relay.
QuRE-238,The Error conditions are set if a certain threshold of the Rdi-value has been reached.
QuRE-239,"To prevent a very fast consumer deacitivation by the DLM when the windshield heater is turned on, there is a certain offset voltage which is allowed during the defrosting cycle."
QuRE-240,If the internal resistance of the battery is above a certain value the maximum charge of the battery is limited to an upper value.
QuRE-241,"If the detection has not been working after a certain time, the battery is charged again."
QuRE-242,"If the battery charge sum since the last time a full charge has been detected exceeds a certain value, the battery has to be charged until it is detected as full."
QuRE-243,Therefore the load and the maximum alternator current at certain engine speeds is calculated and the desired engine speed is sent to the engine controller.
QuRE-244,The battery sensor IBS is set to a certain mode depending on the state of the car.
QuRE-245,"If this voltage is below a certain level, the automatic stop is disabled and the GM1 is ended."
QuRE-246,When certain conditions are fulfilled the IODM can be reset via diagnostics.
QuRE-247,The antenna amplifier needs a certain immunity against interference of its phantom power supply.
QuRE-248,The component shall provide the possibility to switch on / off certain parts of the applications via variant coding.
QuRE-249,The component shall implement a possibility to shut down certain hardware parts depending on the components internal temperature.
QuRE-250,"Telelog is a SNAP enabled HU native application, in which certain specified telematics feature usages are logged by the HU, and the logs are sent to the OEM Vehicle Backend (OEMVB) for further analysis."
QuRE-251,The Eventlog offers the possibility to look up certain events during development or for aftersales analysis.
QuRE-252,Under certain circumstances it might be necessary to change a value.
QuRE-253,The detection shall be done in a certain way and filter for error detection shall be used.
QuRE-254,The system shall provide an interface to import logfiles into the component to simulate certain driving situations.
QuRE-255,The supplier shall agree with the OEM on the CAN messages for certain temperature stages after awarding of contract.
QuRE-256,The TCU is connected to the ORC redundantly via CAN and LIN to execute automatic emergency calls on certain crash levels.
QuRE-257,One communication configuration represents e.g. a certain vehicle line.
QuRE-258,"The OBC must switch off, when PE-resistance exceed a certain value."
QuRE-259,It has to be taken into consideration that this supply current shall be symmetrically for all cells within the module to prevent any interferences with the equalizing function of certain cells in the module.
QuRE-260,Carefulness requires that the test be carried out with a certain time lag regarding the high side switch of the output stages.
QuRE-261,"If signals are assigned from functions that are switched off in certain conditions, SNA resp. default values are assigned during switched off times."
QuRE-262,"Further it is possible to reset Production Mode, Transport Mode, EU5 Manipulation Protection, Charge Current Evaluation and IOD Measurement when certain conditions are given."
QuRE-263,"If the battery charge resistance is high, the integrator is limited on a certain lower level."
QuRE-264,"If the internal dynamic battery resistance is high, the integrator is limited to a certain upper level."
QuRE-265,A decision about the battery type is made after having collected references for a certain battery type for a certain time.
QuRE-266,Neu: A full Charge Request is set when the charge sum difference between two full charge cycles exceeds a certain value.
QuRE-267,"With the calculated highest alternating currents at certain engine speeds and the current demand of the loads, the needed engine idle speed is calculated."
QuRE-268,"In case of reset, the central locking system will close the DDP-relay again after a certain wait time."
QuRE-269,The activation of the Rdi warning message is debounced for a certain time.
QuRE-270,With the closed relay the voltage difference has to be lower than a certain level.
QuRE-271,"BackupBatChargeRq equals 1, if any of the set events happened (stop disable because of voltage drop or a low after start voltage) and the backup battery voltage has not been higher than 13 volts for a certain amount of time."
QuRE-272,While ProdMode is active the CCE can be started automatically under certain conditions.
